,base,ftune,ftunernd
588,5.0,8.377285,4.891037
589,5.0,8.377285,4.891037
590,5.0,4.3077865,5.11508
591,5.0,6.1269445,4.8616705
592,5.0,8.874225,4.891037
593,5.0,8.377285,4.891037
594,5.0,4.4349785,4.6920996
595,5.0,7.800146,4.891037
596,5.0,8.049671,4.891037
597,5.0,5.9741316,4.891037
598,5.0,2.4472551,4.4108834
599,5.0,8.3775,4.930476
600,5.0,8.874225,4.891037
601,5.0,7.8052607,4.891037
602,5.0,7.0240955,4.8978972
603,5.0,5.88032,4.7932205
604,5.0,7.308042,4.891037
605,5.0,4.7864585,4.891037
606,5.0,4.812108,4.836911
607,5.0,4.4843187,4.676162
608,5.0,7.803125,4.891037
609,5.0,3.2294965,4.961115
610,5.0,8.874225,4.891037
611,5.0,4.742902,4.8535643
612,5.0,8.377285,4.891037
613,5.0,8.373308,4.891019
614,5.0,5.17698,4.5723214
615,5.0,6.1601315,5.0972166
616,5.0,5.250954,5.059651
617,5.0,6.4289827,4.891037
618,5.0,4.947009,5.1594133
619,5.0,5.1219616,4.8912888
620,5.0,8.049671,4.891037
621,5.0,7.1295013,4.8463526
622,5.0,5.878356,5.181851
623,5.0,7.8063354,4.902108
624,5.0,7.609944,4.891037
625,5.0,6.048348,4.870797
626,5.0,7.5629125,4.890982
627,5.0,8.874225,4.891037
628,5.0,4.1634164,4.8850565
629,5.0,7.8052607,4.891037
630,5.0,5.8444567,4.9154744
631,5.0,7.6095405,4.891037
632,5.0,7.308042,4.891037
633,5.0,6.6252446,4.813282
634,5.0,8.874225,4.891037
635,5.0,7.605269,4.891037
636,5.0,8.874225,4.891037
637,5.0,8.049671,4.891037
638,5.0,8.874225,4.891037
639,5.0,8.377285,4.891037
640,5.0,7.447336,4.891037
641,5.0,7.373658,4.85325
642,5.0,7.2230134,4.814653
643,5.0,5.8478374,4.929637
644,5.0,3.9496555,4.7293563
645,5.0,5.487762,4.560581
646,5.0,7.6135435,4.891037
647,5.0,7.607799,4.891037
648,5.0,2.4663026,4.3934054
649,5.0,8.377285,4.891037
650,5.0,8.056944,4.891037
651,5.0,4.9463954,4.8299613
652,5.0,6.8107624,4.891037
653,5.0,6.9588966,4.8902807
654,5.0,1.9324006,3.475947
655,5.0,6.686664,4.9654393
656,5.0,4.265016,4.157463
657,5.0,4.9366713,4.796545
658,5.0,7.609944,4.891037
659,5.0,4.6372495,5.3529935
660,5.0,8.874225,4.891037
661,5.0,8.874225,4.891037
662,5.0,7.540133,4.911356
663,5.0,8.377285,4.891037
664,5.0,5.7300153,4.8150516
665,5.0,8.049671,4.891037
666,5.0,6.4622865,4.829051
667,5.0,6.8919454,4.891037
668,5.0,5.796129,4.825778
669,5.0,7.3494573,4.797391
670,5.0,5.3445606,4.812504
671,5.0,6.0738955,4.9009824
672,5.0,8.874225,4.891037
673,5.0,7.1737266,4.888514
674,5.0,6.6521454,4.879716
